coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
44.9,-97.12,804,Clouds,overcast clouds,04d,stations,45.68,1018,93,44.6,46.4,12874,13.87,30,90,1569946769,1,3343,0.0064,US,1569932766,1569975007,-18000,5232741,Watertown,200
7.36,2.6,500,Rain,light rain,10d,stations,77.44,1007.65,87,77.44,77.44,,8.93,196.588,100,1569947003,,,0.0087,BJ,1569908253,1569951665,3600,2393551,Ketou,200
27.5,88.54,500,Rain,light rain,10n,stations,54.76,1015.98,86,54.76,54.76,,1.9,1.343,66,1569947003,,,0.0062,IN,1569887886,1569930791,19800,1263776,Mangan,200
-32.49,137.76,802,Clouds,scattered clouds,03n,stations,73.31,1018,20,69.01,77,10000,18.34,360,28,1569947005,1,9613,0.0075,AU,1569961564,1570006252,34200,2063056,Port Augusta,200
-3.73,-38.66,801,Clouds,few clouds,02d,stations,86.47,1011,48,86,87.8,10000,20.8,90,20,1569947005,1,8363,0.0089,BR,1569918011,1569961708,-10800,3402429,Caucaia,200
53.59,7.21,804,Clouds,overcast clouds,04d,stations,52.05,999,81,51.01,53.6,10000,10.29,40,90,1569947005,1,1530,0.0074,DE,1569907916,1569949790,7200,2862118,Norden,200
9.06,-62.05,804,Clouds,overcast clouds,04d,stations,87.88,1011.07,66,87.88,87.88,,7.2,99.79,94,1569947006,,,0.0061,VE,1569923790,1569967153,-14400,3625929,Tucupita,200
20.2,1.01,800,Clear,clear sky,01d,stations,104.62,1007.25,7,104.62,104.62,,11.54,62.362,0,1569947006,,,0.0067,ML,1569908800,1569951882,0,2449893,Tessalit,200
-33.93,18.42,800,Clear,clear sky,01d,stations,65.8,1020,63,63,70,10000,12.75,210,0,1569946792,1,1899,0.0058,ZA,1569903829,1569948498,7200,3369157,Cape Town,200
38.94,100.46,804,Clouds,overcast clouds,04n,stations,59.26,1013.25,38,59.26,59.26,,0.94,196.428,87,1569947007,,,0.0076,CN,1569971653,1570014064,28800,1785036,Zhangye,200
10.75,122.67,500,Rain,light rain,10n,stations,75.46,1012.37,90,75.46,75.46,,4.05,335.883,96,1569947008,,,0.0052,PH,1569965878,1570009180,28800,1713003,Getulio,200
