coord_lat,coord_lon,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
64.86,-147.8,711,Smoke,smoke,50n,stations,67.62,1018,52,64,71.6,6437,4.7,60,75,1561702178,1,7684,0.0072,US,1561633361,1561711538,-28800,5859699,College,200
-17.73,-39.27,800,Clear,clear sky,01n,stations,72.41,1019.51,87,72.41,72.41,,6.17,87.448,10,1561701983,,,0.0067,BR,1561712879,1561752742,-10800,3466980,Caravelas,200
59.7,30.79,804,Clouds,overcast clouds,04d,stations,56.8,1006,76,55,57.99,10000,15.66,350,90,1561701706,1,8926,0.0066,RU,1561682349,1561749638,10800,546105,Nikolskoye,200
-33.69,-53.46,800,Clear,clear sky,01n,stations,53.15,1014.96,91,53.15,53.15,,11.79,9.064,0,1561701714,,,0.0062,UY,1561718346,1561754086,-10800,3443061,Chuy,200
45.69,28.61,803,Clouds,broken clouds,04d,stations,75,1010,50,75,75,,21,350,61,1561702256,3,50401,0.0069,UA,1561688287,1561744747,10800,711841,Bolhrad,200
27.73,106.92,500,Rain,light rain,10d,stations,71.87,1001.2,87,71.87,71.87,,7.27,294.011,100,1561702256,,,0.0064,CN,1561672726,1561722713,28800,1783621,Zunyi,200
52.14,-10.27,803,Clouds,broken clouds,04d,stations,66.2,1017,68,66.2,66.2,10000,8.05,110,75,1561701705,1,1552,0.0059,IE,1561695750,1561755949,3600,2964782,Dingle,200
-42.88,147.33,803,Clouds,broken clouds,04d,stations,62.51,1017,55,62.01,63,10000,13.87,10,75,1561701932,1,9545,0.0067,AU,1561671759,1561704281,36000,2163355,Hobart,200
55.43,13.82,800,Clear,clear sky,01d,stations,62.17,1023,67,60.8,66,10000,8.05,350,0,1561702257,1,1760,0.0061,SE,1561688689,1561751444,7200,2662149,Ystad,200
69.38,178.42,804,Clouds,overcast clouds,04d,stations,40.19,1009.38,89,40.19,40.19,,6.76,91.461,91,1561701982,,,0.0056,RU,0,0,43200,2123814,Leningradskiy,200
4.94,-52.33,804,Clouds,overcast clouds,04n,stations,77,1012,88,77,77,10000,3.8,124.355,90,1561702182,1,8669,0.006,GF,1561713615,1561758275,-10800,3382160,Cayenne,200
-33.02,27.91,800,Clear,clear sky,01d,stations,62.6,1012,45,62.6,62.6,10000,9.17,350,0,1561701717,1,1912,0.0058,ZA,1561698716,1561734653,7200,1006984,East London,200
-34,24.73,800,Clear,clear sky,01d,stations,52.25,1012.49,31,52.25,52.25,,9.04,341.803,0,1561701931,,,0.0058,ZA,1561699628,1561735269,7200,986717,Kruisfontein,200
70.62,147.9,800,Clear,clear sky,01d,stations,63.05,1010.82,36,63.05,63.05,,13,64.468,0,1561701972,,,0.009,RU,0,0,39600,2126123,Chokurdakh,200
66.83,70.83,802,Clouds,scattered clouds,03d,stations,61.79,1012.38,42,61.79,61.79,,10.51,245.105,28,1561701943,,,0.0074,RU,0,0,18000,1486321,Yar-Sale,200
19.28,-81.25,500,Rain,light rain,10n,stations,79,1015,76,79,79,,3,80,50,1561702258,3,2012523,0.0069,KY,1561718976,1561766797,-18000,3580733,Bodden Town,200
55.74,-97.86,802,Clouds,scattered clouds,03n,stations,50,1021,76,50,50,24140,3.36,30,40,1561701481,1,935,0.0072,CA,1561715367,1561778380,-18000,6165406,Thompson,200
-16.48,-151.75,500,Rain,light rain,10n,stations,79.25,1012.93,80,79.25,79.25,,12.73,133.911,9,1561701995,,,0.0056,PF,1561653328,1561693467,-36000,4034551,Faanui,200
-22.12,14.28,802,Clouds,scattered clouds,03d,stations,55.99,1021,83,55.99,55.99,,7.76,162.385,33,1561702259,3,2012545,0.0088,NA,1561700538,1561739375,7200,3356832,Henties Bay,200
9.49,50.81,803,Clouds,broken clouds,04d,stations,87.17,1010.07,43,87.17,87.17,,34.25,228.636,58,1561701996,,,0.0077,SO,1561688377,1561734000,10800,64814,Bandarbeyla,200
37.51,34.05,800,Clear,clear sky,01d,stations,76.91,1006.31,40,76.91,76.91,,2.15,346.152,0,1561702259,,,0.0118,TR,1561688688,1561741734,10800,315498,Eregli,200
59.36,143.24,803,Clouds,broken clouds,04d,stations,71.69,1001.25,41,71.69,71.69,,3.06,347.317,59,1561702260,,,0.0066,RU,1561655565,1561722439,36000,2122605,Okhotsk,200
41.17,75.81,500,Rain,light rain,10d,stations,63.95,1011.37,38,63.95,63.95,,7.29,243.089,90,1561701965,,,0.0061,KG,1561677964,1561732410,21600,1528796,At-Bashi,200
-13.71,-76.2,701,Mist,mist,50n,stations,62.8,1012,88,62.6,63,3500,4.7,40,90,1561701702,1,8691,0.0077,PE,1561721296,1561762053,-18000,3932145,Pisco,200
45.63,-73.98,801,Clouds,few clouds,02n,stations,65.16,1019,77,60.01,69.01,24140,9.17,200,20,1561701986,1,943,0.0092,CA,1561712931,1561769352,-14400,6138501,Saint-Augustin,200
37.17,-99.65,804,Clouds,overcast clouds,04n,stations,77,1011,68,77,77,,13,131,89,1561701740,3,2005167,0.0077,US,1561720845,1561773762,-18000,4267710,Sitka,200
-31.43,152.91,800,Clear,clear sky,01d,stations,65.28,1029,55,64,66.99,10000,6.93,10,10,1561702261,1,9610,0.0056,AU,1561668482,1561704879,36000,2152659,Port Macquarie,200
-28.77,32.06,800,Clear,clear sky,01d,stations,67.19,1018.61,62,67.19,67.19,,16.69,0.077,0,1561701999,,,0.0073,ZA,1561697117,1561734261,7200,962367,Richards Bay,200
-46.43,-67.52,800,Clear,clear sky,01n,stations,30.29,1009.63,45,30.29,30.29,,8.23,264.274,0,1561701951,,,0.0063,AR,1561724095,1561755087,-10800,3863379,Mar del Plata,200
10.07,34.53,803,Clouds,broken clouds,04d,stations,73.13,1013.14,81,73.13,73.13,,2.95,207.011,67,1561702262,,,0.0066,ET,1561692222,1561737969,10800,343292,Asosa,200
59.94,54.99,800,Clear,clear sky,01d,stations,66.29,1010.35,38,66.29,66.29,,10.71,131.587,0,1561702262,,,0.0054,RU,1561676378,1561743991,18000,544318,Kosa,200
16.48,79.44,804,Clouds,overcast clouds,04d,stations,89.51,1004.18,53,89.51,89.51,,20.54,277.848,100,1561702262,,,0.0075,IN,1561680731,1561727901,19800,1264647,Macherla,200
22.89,-109.91,801,Clouds,few clouds,02n,stations,79.75,1013,33,72,89.6,16093,5.82,270,20,1561701781,1,7165,0.0074,MX,1561725414,1561774118,-21600,3985710,Cabo San Lucas,200
